event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,1227564,1234593,1227564,0,1000,0,0,6
2,66,137,2471127,2480188,1049464,0,1002,0,0,8
3,58,195,1791416,1793722,562269,2,1005,2,0,11
4,71,266,2604685,2608148,516284,2,1007,0,0,6
5,69,335,3801778,3803557,800867,1,1011,2,0,14
6,45,380,4776360,4781070,853218,17,1013,1,0,4
7,0,380,1,157202,834348,17,1013,0,0,0
8,60,440,2387054,2389210,635393,5,1014,2,0,0
9,79,519,3110067,3114092,691606,5,1015,0,0,13
10,71,590,1939287,1942949,573297,42,1015,2,0,11
11,55,645,1980764,1984593,416157,31,1018,1,0,17
12,49,694,2581355,2583718,377589,31,1021,1,0,0
13,52,746,5356880,5360789,467769,5,1017,0,0,18
14,64,810,3960386,3964120,503738,5,1025,0,0,11
15,65,875,1812567,1815359,390068,27,1023,2,0,5
16,50,925,2977401,2982692,345390,37,1023,1,0,13
17,91,1016,1303694,1303758,299139,0,1020,30,0,7
18,56,1072,2638105,2645433,290032,0,1022,0,0,6
19,60,1132,2335115,2337563,266101,10,1022,2,0,5
20,67,1199,3497883,3501099,310076,27,1023,1,0,15
21,75,1274,3409044,3414048,337857,54,1024,1,0,5
22,69,1343,2472777,2475184,445018,7,1025,1,0,4
23,85,1428,1365709,1369660,376835,7,1023,1,0,12
24,50,1478,3740188,3743667,410876,8,1021,1,0,4
25,108,1578,469580,470086,272692,38,1017,3,8,0
